Latitude Longitude Depth Magnitude Strike Dip Rake
11.14 -85.53 160.0 5.34 0.0 45.0 72.5
7.43 -82.65 30.0 5.42 0.0 20.0 107.4
9.434 -83.847 30.0 3.39 140.0 80.0 52.5
8.416 -82.944 10.0 4.7 315.0 45.0 65.0
8.379 -82.938 7.0 4.33 335.0 40.0 94.1
9.61 -84.1 60.0 3.84 95.0 45.0 -44.1
10.56 -84.97 4.0 4.2 175.0 70.0 -134.1
8.668 -82.88 11.0 5.07 265.0 85.0 -136.7
10.54 -83.09 90.0 4.37 140.0 45.0 -158.5
7.77 -82.75 6.0 5.5 180.0 70.0 95.0
8.45 -82.96 15.0 3.69 320.0 35.0 43.8
10.08 -83.66 18.0 3.71 225.0 70.0 -76.0
10.453 -85.989 23.0 3.48 0.0 20.0 140.0
8.005 -82.714 4.0 5.72 180.0 45.0 90.0
8.004 -82.776 4.0 5.28 85.0 70.0 -175.2
8.061 -82.862 9.0 5.48 355.0 35.0 14.1
9.81 -84.16 60.0 3.59 65.0 75.0 5.0
10.412 -86.723 22.0 5.12 50.0 70.0 -61.5
8.944 -82.999 12.0 3.59 0.0 15.0 142.1
